Month,Deck,Percent
2024-12,Tenpai Dragon,10.9
2024-12,White Forest,8.0
2024-12,Labrynth,4.6
2024-12,Voiceless Voice,4.4
2024-12,Gimmick Puppet,4.3
2024-12,Chimera,3.8
2024-12,Mathmech,3.7
2024-12,Centur-Ion,2.6
2024-12,Branded,2.3
2024-12,Yubel,2.3
2024-12,Infernoble Knight,2.2
2024-12,Ritual Beast,2.2
2024-12,Fire King,2.1
2024-12,Orcust,1.8
2024-12,Tearlaments,1.6
2024-12,Dinomorphia,1.5
2024-12,True Draco,1.5
2024-12,Melodious,1.4
2024-12,Snake-Eye,1.3
2024-12,Plant,1.1
2024-12,Red Dragon Archfiend,1.1
2024-12,Pendulum,1.1
2024-12,Traptrix,1.0
2024-12,Spright,1.0
2024-12,Marincess,1.0
2024-12,Barrier Statue,0.9
2024-12,HERO,0.8
2024-12,Salamangreat,0.8
2024-12,Dracoslayer,0.8
2024-12,Live☆Twin,0.8
2024-12,Dark Magician,0.7
2024-12,Thunder Dragon,0.7
2024-12,Sky Striker,0.7
2024-12,Kashtira,0.7
2024-12,Paleozoic,0.7
2024-12,Scareclaw,0.6
2024-12,Vanquish Soul,0.6
2024-12,Ninja,0.6
2024-12,Dragon Link,0.6
2024-12,Vaylantz,0.5
2024-12,Purrely,0.5
2024-12,Shining Sarcophagus,0.5
2024-12,Mikanko,0.5
2024-12,Dragoon,0.4
2024-12,Dogmatika,0.4
2024-12,Dinosaur,0.4
2024-12,D/D/D,0.4
2024-12,Unchained,0.4
2024-12,Madolche,0.4
2024-12,Endymion,0.4
2024-12,Infernoid,0.4
2024-12,Lightsworn,0.4
2024-12,Galaxy Photon,0.4
2024-12,Phantom Knights,0.4
2024-12,Runick,0.4
2024-12,Invoke,0.4
2024-12,Mannadium,0.4
2024-12,Dark World,0.4
2024-12,Ice Barrier,0.4
2024-12,Crystal Beast,0.4
2024-12,Floowandereeze,0.3
2024-12,Ancient Gear,0.3
2024-12,P.U.N.K.,0.3
2024-12,Vaalmonica,0.3
2024-12,Superheavy Samurai,0.3
2024-12,Rescue-ACE,0.3
2024-12,Bystial,0.3
2024-12,Zoodiac,0.3
2024-12,Plunder Patroll,0.3
2024-12,Swordsoul,0.3
2024-12,SPYRAL,0.3
2024-12,Amazement,0.2
2024-12,Exosister,0.2
2024-12,Charmer,0.2
2024-12,Synchron,0.2
2024-12,Odd-Eyes,0.2
2024-12,Red-Eyes,0.2
2024-12,Naturia,0.2
2024-12,Generaider,0.2
2024-12,Raidraptor,0.2
2024-12,Eldlich,0.2
2024-12,Trickstar,0.2
2024-12,Ogdoadic,0.2
2024-12,Flame Swordsman,0.2
2024-12,Libromancer,0.1
2024-12,Subterror,0.1
2024-12,Nemleria,0.1
2024-12,Fur Hire,0.1
2024-12,World Chalice,0.1
2024-12,Infernity,0.1
2024-12,Skull Servant,0.1
2024-12,Dinowrestler,0.1
2024-12,Alien Ogdoadic,0.1
2024-12,Nordic,0.1
2024-12,Trap Monsters,0.1
2024-12,Earthbound,0.1
2024-12,Dragunity,0.1
2024-12,Dragonmaid,0.1
2024-12,Goblin Biker,0.1
2024-12,Lair of Darkness,0.1
2024-12,Volcanic,0.1
2024-12,Tellarknight,0.1
2024-12,Exodia,0.1
2024-12,Rank 8 go 2nd,0.1
2024-12,Buster Blader,0.1
2024-12,Genex,0.1
2024-12,Lunalight Tri-Brigade,0.1
2024-12,Zefra,0.1
2024-12,Shiranui,0.1
2024-12,Ancient Warriors,0.1
2024-12,Stall,0.1
2024-12,Battlin' Boxer,0.1
2024-12,Fortune Lady,0.1
2024-12,Igknight,0.1
2024-12,Tri-Brigade,0.1
2024-12,Malefic,0.1
2024-12,Prank-Kids,0.1
2024-12,Abyss Actor,0.1
2024-12,Gishki,0.1
2024-12,Nouvelles,0.1
2024-12,Umi,0.1
2024-12,Super Quant,0.1
2024-12,Gold Pride,0.1
2024-12,Dragon Ruler,0.1
2024-12,Gravekeeper,0.1
2024-12,Drytron,0.1
2024-12,Solfachord,0.1
2024-12,Weather Painter,0.1
2024-12,Blackwings,0.1
2024-12,Chain Burn,0.1
2024-12,Magikey,0.1
2024-12,Lunalight,0.1
2024-12,Ghoti,0.1
2024-12,Crusadia,0.1
2024-12,Monarchs,0.1
2024-12,Egyptian God,0.1
2024-12,Cyber Dragon,0.1
2024-12,Watt,0.1
2024-12,Memento,0.1
2024-12,Mekk-Knight Crusadia,0.1
2024-12,Shinobird,0.1
2024-12,Machina,0.1
2024-12,Time Thief,0.1
2024-12,Mayakashi,0.1
2024-12,Telefon Combo,0.1
2024-12,Therion,0.1
2024-12,Witchcrafter,0.1
2025-01,Tenpai Dragon,7.2
2025-01,Yubel,6.2
2025-01,White Forest,4.9
2025-01,Voiceless Voice,4.2
2025-01,Drytron,3.6
2025-01,Fire King,3.5
