Month,Deck,Percent
2022-01,Lyrilusc,9.5
2022-01,Tri-Brigade,9.2
2022-01,Eldlich,5.4
2022-01,Drytron,5.1
2022-01,Invoke,5.0
2022-01,Virtual World,4.5
2022-01,Sky Striker,4.2
2022-01,Adamancipator,3.5
2022-01,Phantom Knights,3.4
2022-01,Thunder Dragon,3.3
2022-01,Prank-Kids,3.1
2022-01,Mathmech,3.0
2022-01,Dinosaur,2.9
2022-01,Salamangreat,2.1
2022-01,HERO,1.9
2022-01,Cyber Dragon,1.7
2022-01,True Draco,1.7
2022-01,Madolche,1.5
2022-01,Endymion,1.5
2022-01,Dragon Link,1.4
2022-01,Pendulum,1.1
2022-01,Zoodiac,1.0
2022-01,SPYRAL,1.0
2022-01,Machina,1.0
2022-01,Subterror,0.8
2022-01,Dragonmaid,0.8
2022-01,Infernoble Knight,0.8
2022-01,Fluffal,0.8
2022-01,Unchained,0.6
2022-01,Blackwings,0.6
2022-01,Infernoid,0.6
2022-01,Gren Maju,0.6
2022-01,Numeron,0.5
2022-01,Raidraptor,0.5
2022-01,Zombies,0.5
2022-01,Orcust,0.4
2022-01,Invoked Mekk-Knights,0.4
2022-01,Melffy Tri-Brigade,0.4
2022-01,Crusadia,0.3
2022-01,Burning Abyss,0.3
2022-01,Lunalight,0.3
2022-01,ABC,0.3
2022-01,Zoodiac Eldlich,0.3
2022-01,Railway,0.3
2022-01,D/D/D,0.3
2022-01,Mekk-Knights,0.3
2022-01,Orcust Mekk-Knight,0.3
2022-01,Mermail Atlantean,0.3
2022-01,Traptrix,0.3
2022-01,Live☆Twin,0.3
2022-01,Altergeist,0.3
2022-01,Dragunity,0.3
2022-01,Plunder Patroll,0.3
2022-01,Megalith,0.2
2022-01,Live☆Twin Eldlich,0.2
2022-01,Infinitrack,0.2
2022-01,Lightsworn,0.2
2022-01,Generaider,0.2
2022-01,Gem-Knights,0.2
2022-01,Ritual Beast,0.2
2022-01,Kragen Control,0.2
2022-01,Ancient Warriors,0.2
2022-01,Dogmatika,0.2
2022-01,Zefra,0.2
2022-01,Sky Striker Orcust,0.2
2022-01,Dark Magician,0.2
2022-01,Prank-Kids Eldlich ,0.2
2022-01,Eldlich Dogmatika,0.2
2022-01,Rank 8 go 2nd,0.2
2022-01,Monarch,0.2
2022-01,Paleo Frog,0.1
2022-01,Sky Striker Eldlich,0.1
2022-01,Shaddoll,0.1
2022-01,Gladiator Beast Tri-Brigade,0.1
2022-01,Magical Musketeer,0.1
2022-01,Galaxy Photon,0.1
2022-01,Synchron,0.1
2022-01,Mayakashi,0.1
2022-01,Lunalight Raidraptor,0.1
2022-01,Chain Burn,0.1
2022-01,Ultra Athletes,0.1
2022-01,Dragunity Dragonmaid,0.1
2022-01,Abyss Actor,0.1
2022-01,Mekk-Knight Sky Striker,0.1
2022-01,Gouki,0.1
2022-01,Auroradon Combo,0.1
2022-01,Bujin,0.1
2022-01,Cyber Angel,0.1
2022-01,Gravekeeper,0.1
2022-01,Skull Servant,0.1
2022-01,Invoked Eldlich,0.1
2022-01,Magical Musket Eldlich,0.1
2022-01,Eldlich Frog,0.1
2022-01,Megalith Drytron,0.1
2022-01,Eldlich Cubic,0.1
2022-01,Mayakashi Eldlich,0.1
2022-01,Altergeist Mekk-Knight,0.1
2022-01,Dark World,0.1
2022-01,Witchcrafter,0.1
2022-01,Danger! Thunder Dragon,0.1
2022-01,Qliphort,0.1
2022-01,War Rock,0.1
2022-01,Evil Eye,0.1
2022-01,Dogmatika Nekroz,0.1
2022-01,Invoked Tri-Brigade,0.1
2022-01,Harpie Tri-Brigade,0.1
2022-01,Barrier Statue,0.1
2022-01,Time Thief Raidraptor,0.1
2022-01,Windwitch Generaider,0.1
2022-01,Metaphys,0.1
2022-01,Solfachord,0.1
2022-01,Witchcrafter Eldlich,0.1
2022-01,Blue-Eyes,0.1
2022-01,World Chalice,0.1
2022-01,Spellbook Dogmatika,0.1
2022-01,Zoodiac Kaiju,0.1
2022-01,Red Dragon Archfiend,0.1
2022-01,Kozmo,0.1
2022-01,Fire Fist,0.1
2022-01,Superheavy Samurai,0.1
2022-01,Myutant,0.1
2022-01,Metalfoes,0.1
2022-01,Numeron Ra,0.1
2022-01,Phantasm Spiral,0.1
2022-01,Ice Barrier Crystrons,0.1
2022-01,Ancient Warriors Eldlich,0.1
2022-01,Gusto,0.1
2022-01,Toon,0.1
2022-01,Train Eldlich,0.1
2022-01,Invoked Generaider,0.1
2022-01,Numeron Eldlich,0.1
2022-01,Marincess,0.1
2022-02,Tri-Brigade,8.5
2022-02,Adamancipator,5.6
2022-02,Invoke,5.1
2022-02,Drytron,4.9
2022-02,Virtual World,4.5
2022-02,Lyrilusc,4.0
2022-02,Sky Striker,3.4
2022-02,Phantom Knights,3.2
2022-02,Eldlich,3.1
2022-02,Dinosaur,3.0
2022-02,Prank-Kids,2.6
2022-02,Cyber Dragon,2.6
2022-02,Mathmech,2.5
2022-02,HERO,2.2
2022-02,Endymion,2.0
2022-02,Thunder Dragon,2.0
2022-02,True Draco,1.9
2022-02,Salamangreat,1.8
2022-02,Madolche,1.5
2022-02,Pendulum,1.4
2022-02,Traptrix,1.3
2022-02,Zoodiac,1.3
2022-02,Dragonmaid,1.1
2022-02,Dragon Link,1.1
2022-02,Numeron,0.9
2022-02,Live☆Twin,0.9
2022-02,Subterror,0.9
2022-02,Machina,0.9
2022-02,SPYRAL,0.7
2022-02,Barrier Statue,0.7
2022-02,Unchained,0.6
2022-02,Kragen Control,0.6
2022-02,Crusadia,0.6
2022-02,Fluffal,0.6
2022-02,Gren Maju,0.6
2022-02,Altergeist,0.5
2022-02,Zefra,0.4
2022-02,Synchron,0.4
2022-02,Rank 8 go 2nd,0.4
2022-02,Mermail Atlantean,0.4
2022-02,Sky Striker Eldlich,0.4
2022-02,Blackwings,0.4
2022-02,Infernoble Knight,0.4
2022-02,Magical Musketeer,0.4
2022-02,Ancient Warriors,0.4
2022-02,Burning Abyss,0.4
2022-02,Railway,0.4
2022-02,D/D/D,0.4
2022-02,Orcust,0.3
2022-02,Danger! Thunder Dragon,0.3
2022-02,Paleo Frog,0.3
2022-02,Witchcrafter,0.3
2022-02,War Rock,0.3
2022-02,Dragunity,0.3
2022-02,Plunder Patroll,0.3
2022-02,Mekk-Knights,0.3
2022-02,Utopia,0.2
2022-02,Myutant,0.2
2022-02,Infernoid,0.2
2022-02,Marincess,0.2
2022-02,Galaxy Photon,0.2
2022-02,Generaider,0.2
2022-02,Invoked Mekk-Knights,0.2
2022-02,Melffy Tri-Brigade,0.2
2022-02,Gem-Knights,0.2
2022-02,Six Samurai,0.2
2022-02,Odd-Eyes,0.2
2022-02,Time Thief Raidraptor,0.2
2022-02,Speedroid,0.2
2022-02,Eldlich Dogmatika,0.2
2022-02,Gravekeeper,0.2
2022-02,Red Dragon Archfiend,0.2
2022-02,Zombies,0.2
2022-02,Ultra Athletes,0.2
2022-02,Darklord,0.2
2022-02,Blue-Eyes,0.2
2022-02,Orcust Mekk-Knight,0.2
2022-02,ABC,0.1
2022-02,Numeron Generaider,0.1
2022-02,Plant,0.1
2022-02,Megalith,0.1
2022-02,Shaddoll,0.1
2022-02,Lightsworn,0.1
2022-02,Lunalight Tri-Brigade,0.1
2022-02,Phantom Knight Burning Abyss,0.1
2022-02,Monarch,0.1
2022-02,Lunalight,0.1
2022-02,Tellarknight,0.1
2022-02,Phantasm Spiral,0.1
2022-02,Tenyi,0.1
2022-02,Gouki,0.1
2022-02,Time Thief,0.1
2022-02,Solfachord,0.1
2022-02,Prank-Kids Eldlich ,0.1
2022-02,Weather Painter,0.1
2022-02,Skull Servant,0.1
2022-02,Crystal Beast,0.1
2022-02,Danger!,0.1
2022-02,Nurse Burn,0.1
2022-02,Toon,0.1
2022-02,Stall,0.1
2022-02,Harpies,0.1
2022-02,Scrap,0.1
2022-02,Mayakashi,0.1
2022-02,World Chalice,0.1
2022-02,Cubic,0.1
2022-02,Lunalight Raidraptor,0.1
2022-02,Raidraptor,0.1
2022-02,Harpie Tri-Brigade,0.1
2022-02,Ritual Beast,0.1
2022-02,Megalith Drytron,0.1
2022-02,Karakuri,0.1
2022-02,Magistus,0.1
2022-02,Metalfoes,0.1
2022-02,Dark World,0.1
2022-02,Sky Striker Orcust,0.1
2022-02,Dark Magician,0.1
2022-02,Crystron,0.1
2022-02,Gladiator Beast Tri-Brigade,0.1
2022-02,Yang Zing Tenyi,0.1
2022-02,Live☆Twin Eldlich,0.1
2022-02,Abyss Actor,0.1
2022-02,Vampire,0.1
2022-02,Reversal Quiz,0.1
2022-02,Zoodiac Generaider,0.1
2022-02,Ancient Warriors Tri-Brigade,0.1
2022-02,Eldlich Frog,0.1
2022-02,Exodia,0.1
2022-02,Jurrac,0.0
2022-02,Kozmo,0.0
2022-02,Mythical Beast,0.0
2022-02,True Draco Eldlich,0.0
2022-02,Nekroz,0.0
2022-02,Cyber Angel,0.0
2022-02,Evil Eye,0.0
2022-02,/Assault Mode,0.0
2022-02,Melodious,0.0
2022-02,Ogdoadic,0.0
2022-02,Ice Barrier,0.0
2022-02,Gishki,0.0
2022-02,Evilswarm,0.0
2022-02,Invoked Mekk-Knight Dogmatika,0.0
2022-02,Dinomist,0.0
2022-02,Skill Drain Beatdown,0.0
2022-02,Zoodiac Eldlich,0.0
2022-02,Subterror Amazement Dogmatika,0.0
2022-02,Live☆Twin Generaider,0.0
2022-02,Prediction Princess,0.0
2022-02,Chaos,0.0
2022-02,Igknight,0.0
2022-02,Invoked Dogmatika Eldlich,0.0
2022-02,PSY-Frame,0.0
2022-02,Charmer,0.0
2022-02,Buster Blader,0.0
2022-02,Skull Servant Eldlich,0.0
2022-02,Amazement,0.0
2022-02,Geargia,0.0
2022-02,Lunalight Time Thief,0.0
2022-02,Dogmatika Nekroz,0.0
2022-02,Invoked Eldlich,0.0
2022-02,Dogmatika,0.0
2022-02,Numeron Ra,0.0
2022-02,Windwitch,0.0
2022-02,Invoked Generaider,0.0
2022-02,Appliancer,0.0
2022-02,Rose Dragon,0.0
2022-02,Red-Eyes,0.0
2022-02,Shaddoll Eldlich,0.0
2022-02,Armed Dragon,0.0
2022-02,Phantom Knight Eldlich,0.0
2022-02,Formula Athletes,0.0
2022-02,Invoked Thunder Dragon,0.0
2022-02,Atlantean,0.0
2022-02,Sacred Beast,0.0
2022-02,Fur Hire,0.0
2022-02,Buster Blader Eldlich,0.0
2022-02,Yosenju,0.0
2022-02,Zoodiac Kaiju,0.0
2022-02,Timelord,0.0
2022-02,Bishbaalkin,0.0
2022-02,Melffy,0.0
2022-02,Ojama,0.0
2022-02,Mekk-Knight Crusadia,0.0
2022-03,Tri-Brigade,5.8
2022-03,Adamancipator,5.7
2022-03,Sky Striker,4.1
2022-03,Invoke,3.8
2022-03,Virtual World,3.4
2022-03,Dinosaur,3.3
2022-03,Drytron,3.1
2022-03,Eldlich,3.0
2022-03,Lyrilusc,2.7
2022-03,Prank-Kids,2.6
2022-03,Thunder Dragon,2.4
2022-03,Phantom Knights,2.3
2022-03,Mathmech,2.3
2022-03,Cyber Dragon,2.2
2022-03,Dragon Link,2.1
2022-03,HERO,1.9
2022-03,Pendulum,1.9
2022-03,Dragonmaid,1.7
2022-03,Endymion,1.6
2022-03,True Draco,1.3
2022-03,Madolche,1.3
2022-03,Traptrix,1.3
2022-03,Live☆Twin,1.2
2022-03,Fluffal,1.2
2022-03,Salamangreat,1.1
2022-03,SPYRAL,1.0
2022-03,Danger! Thunder Dragon,0.9
2022-03,Zoodiac,0.9
2022-03,Dark Magician,0.8
2022-03,Barrier Statue,0.8
2022-03,Zefra,0.8
2022-03,Machina,0.8
2022-03,Paleo Frog,0.8
2022-03,Orcust,0.8
2022-03,Magical Musketeer,0.7
2022-03,Numeron,0.7
2022-03,Witchcrafter,0.6
2022-03,Ancient Warriors,0.6
2022-03,Unchained,0.6
2022-03,Phantasm Spiral,0.6
2022-03,Railway,0.6
2022-03,Gren Maju,0.6
2022-03,Zombies,0.5
2022-03,Infernoble Knight,0.5
2022-03,D/D/D,0.5
2022-03,Monarch,0.5
2022-03,Plant,0.5
2022-03,Kragen Control,0.5
2022-03,Synchron,0.5
2022-03,Burning Abyss,0.4
2022-03,Mermail Atlantean,0.4
2022-03,Subterror,0.4
2022-03,Crusadia,0.4
2022-03,Gladiator Beast Tri-Brigade,0.3
2022-03,True Draco Eldlich,0.3
2022-03,Plunder Patroll,0.3
2022-03,Weather Painter,0.3
2022-03,Mekk-Knights,0.3
2022-03,Megalith Drytron,0.3
2022-03,Utopia,0.3
2022-03,Infernoid,0.3
2022-03,Raidraptor,0.3
2022-03,Six Samurai,0.3
2022-03,Galaxy Photon,0.3
2022-03,Altergeist,0.3
2022-03,Solfachord,0.3
2022-03,Charmer,0.3
2022-03,Yosenju,0.3
2022-03,Tenyi,0.3
2022-03,Lunalight Raidraptor,0.3
2022-03,Darklord,0.3
2022-03,Gravekeeper,0.3
2022-03,Blackwings,0.2
2022-03,Time Thief Raidraptor,0.2
2022-03,Sky Striker Eldlich,0.2
2022-03,Dragunity,0.2
2022-03,Dragunity Dragonmaid,0.2
2022-03,Rank 8 go 2nd,0.2
2022-03,Ultra Athletes,0.2
2022-03,Marincess,0.2
2022-03,Ogdoadic,0.2
2022-03,Buster Blader,0.2
2022-03,Odd-Eyes,0.2
2022-03,Skull Servant,0.2
2022-03,Speedroid,0.2
2022-03,Qliphort,0.2
2022-03,Rose Tenyi,0.2
2022-03,Shiranui,0.2
2022-03,Red Dragon Archfiend,0.2
2022-03,Toon,0.2
2022-03,Sky Striker Orcust,0.2
2022-03,Orcust Mekk-Knight,0.2
2022-03,Formula Athletes,0.2
2022-03,Blue-Eyes,0.2
2022-03,Spellbook Dogmatika,0.2
2022-03,Gouki,0.2
2022-03,Sky Striker Crusadia,0.2
2022-03,S-Force,0.2
2022-03,Lightsworn,0.2
2022-03,Springans,0.1
2022-03,World Chalice,0.1
2022-03,Harpie Tri-Brigade,0.1
2022-03,Shaddoll,0.1
2022-03,Sekka's Light Sky Striker,0.1
2022-03,Magistus,0.1
2022-03,Numeron Generaider,0.1
2022-03,Invoked Cyber Dragon,0.1
2022-03,Invoked Eldlich,0.1
2022-03,Sacred Beast,0.1
2022-03,Gem-Knights,0.1
2022-03,Magical Musket Eldlich,0.1
2022-03,Melffy Tri-Brigade,0.1
2022-03,Melffy,0.1
2022-03,Cubic,0.1
2022-03,Witchcrafter Eldlich,0.1
2022-03,Invoked Generaider,0.1
2022-03,F.A. Metalfoes,0.1
2022-03,Exodia,0.1
2022-03,Skull Servant Eldlich,0.1
2022-03,ABC,0.1
2022-03,Vampire,0.1
2022-03,Mekk-Knight Sky Striker,0.1
2022-03,War Rock,0.1
2022-03,Igknight,0.1
2022-03,Phantom Knight Eldlich,0.1
2022-03,Generaider,0.1
2022-03,Ritual Beast,0.1
2022-03,Eldlich Dogmatika,0.1
2022-03,Numeron Ra,0.1
2022-03,Trickstar,0.1
2022-03,Krawler,0.1
2022-03,Lunalight Tri-Brigade,0.1
2022-03,Chaos,0.1
2022-03,Yang Zing Tenyi,0.1
2022-03,Cardian Exodia,0.1
2022-03,Dragonmaid Eldlich,0.1
2022-03,Metalfoes,0.1
2022-03,True Draco Monarchs,0.1
2022-03,Nekroz,0.1
2022-03,Skill Drain Beatdown,0.1
2022-03,Megalith,0.1
2022-03,Timelord,0.1
2022-03,Invoked Mekk-Knights,0.1
2022-03,Inferno Tempest Necroface,0.1
2022-03,Gladiator Beasts,0.1
2022-03,Mayakashi,0.1
2022-03,/Assault Mode,0.1
2022-03,Invoked Dogmatika Eldlich,0.1
2022-03,Rose Dragon,0.1
